20:06:55.338 INF Connecting to orderer. addrStr=127.0.0.1:10033 peerId=3
20:06:55.338 INF Connecting to orderer. addrStr=127.0.0.1:10011 peerId=1
20:06:55.338 INF Connecting to orderer. addrStr=127.0.0.1:10000 peerId=0
20:06:55.338 INF Connecting to orderer. addrStr=127.0.0.1:10022 peerId=2
20:06:55.340 INF Connected to orderer. addrStr=127.0.0.1:10011 id=1
20:06:55.340 INF Connected to orderer. addrStr=127.0.0.1:10033 id=3
20:06:55.341 INF Connected to orderer. addrStr=127.0.0.1:10000 id=0
20:06:55.341 INF Connected to orderer. addrStr=127.0.0.1:10022 id=2
20:06:55.344 INF Connected to orderers.
20:06:55.344 INF Updating bucket assignment. epoch=0
20:06:55.344 INF Resubmitted Requests. epoch=0 n=0
20:06:55.349 INF Setting up client timeout. clientRunTime=1200000
20:06:55.350 INF Starting to submit requests. numRequests=2400000
20:06:56.415 INF Request finished (out of order). clSeqNr=0
20:06:56.415 INF Request delivered (in order). clSeqNr=0
20:06:56.415 INF Request finished (out of order). clSeqNr=16
20:06:56.415 INF Request finished (out of order). clSeqNr=32
20:06:56.415 INF Request finished (out of order). clSeqNr=48
20:06:56.415 INF Request finished (out of order). clSeqNr=64
20:06:56.415 INF Request finished (out of order). clSeqNr=80
20:06:56.415 INF Request finished (out of order). clSeqNr=96
20:06:56.415 INF Request finished (out of order). clSeqNr=112
20:06:56.415 INF Request finished (out of order). clSeqNr=128
20:06:56.415 INF Request finished (out of order). clSeqNr=144
20:06:56.416 INF Request finished (out of order). clSeqNr=160
20:06:56.416 INF Request finished (out of order). clSeqNr=176
20:06:56.416 INF Request finished (out of order). clSeqNr=192
20:06:56.416 INF Request finished (out of order). clSeqNr=208
20:06:56.416 INF Request finished (out of order). clSeqNr=224
20:06:56.416 INF Request finished (out of order). clSeqNr=240
20:06:56.416 INF Request finished (out of order). clSeqNr=256
20:06:56.416 INF Request finished (out of order). clSeqNr=272
20:06:56.416 INF Request finished (out of order). clSeqNr=288
20:06:56.416 INF Request finished (out of order). clSeqNr=304
20:06:56.416 INF Request finished (out of order). clSeqNr=320
20:06:56.417 INF Request finished (out of order). clSeqNr=336
20:06:56.417 INF Request finished (out of order). clSeqNr=352
20:06:56.417 INF Request finished (out of order). clSeqNr=368
20:06:56.417 INF Request finished (out of order). clSeqNr=384
20:06:56.417 INF Request finished (out of order). clSeqNr=400
20:06:56.417 INF Request finished (out of order). clSeqNr=416
20:06:56.417 INF Request finished (out of order). clSeqNr=432
20:06:56.418 INF Request finished (out of order). clSeqNr=448
20:06:56.418 INF Request finished (out of order). clSeqNr=464
20:06:56.418 INF Request finished (out of order). clSeqNr=480
20:06:56.418 INF Request finished (out of order). clSeqNr=496
20:06:56.418 INF Request finished (out of order). clSeqNr=512
20:06:56.418 INF Request finished (out of order). clSeqNr=528
20:06:56.418 INF Request finished (out of order). clSeqNr=544
20:06:56.418 INF Request finished (out of order). clSeqNr=560
20:06:56.419 INF Request finished (out of order). clSeqNr=576
20:06:56.419 INF Request finished (out of order). clSeqNr=592
20:06:56.419 INF Request finished (out of order). clSeqNr=608
20:06:56.419 INF Request finished (out of order). clSeqNr=624
20:06:56.419 INF Request finished (out of order). clSeqNr=640
20:06:56.419 INF Request finished (out of order). clSeqNr=656
20:06:56.419 INF Request finished (out of order). clSeqNr=672
20:06:56.419 INF Request finished (out of order). clSeqNr=688
20:06:56.419 INF Request finished (out of order). clSeqNr=704
20:06:56.420 INF Request finished (out of order). clSeqNr=720
20:06:56.420 INF Request finished (out of order). clSeqNr=736
20:06:56.420 INF Request finished (out of order). clSeqNr=752
20:06:56.420 INF Request finished (out of order). clSeqNr=768
20:06:56.420 INF Request finished (out of order). clSeqNr=784
20:06:56.420 INF Request finished (out of order). clSeqNr=800
20:06:56.420 INF Request finished (out of order). clSeqNr=816
20:06:56.420 INF Request finished (out of order). clSeqNr=832
20:06:56.420 INF Request finished (out of order). clSeqNr=848
20:06:56.420 INF Request finished (out of order). clSeqNr=864
20:06:56.420 INF Request finished (out of order). clSeqNr=880
20:06:56.421 INF Request finished (out of order). clSeqNr=896
20:06:56.421 INF Request finished (out of order). clSeqNr=912
20:06:56.421 INF Request finished (out of order). clSeqNr=928
20:06:56.421 INF Request finished (out of order). clSeqNr=944
20:06:56.421 INF Request finished (out of order). clSeqNr=1
20:06:56.421 INF Request delivered (in order). clSeqNr=1
20:06:56.422 INF Request finished (out of order). clSeqNr=17
20:06:56.422 INF Request finished (out of order). clSeqNr=33
20:06:56.422 INF Request finished (out of order). clSeqNr=49
20:06:56.422 INF Request finished (out of order). clSeqNr=65
20:06:56.422 INF Request finished (out of order). clSeqNr=81
20:06:56.422 INF Request finished (out of order). clSeqNr=97
20:06:56.422 INF Request finished (out of order). clSeqNr=113
20:06:56.423 INF Request finished (out of order). clSeqNr=129
20:06:56.423 INF Request finished (out of order). clSeqNr=145
20:06:56.423 INF Request finished (out of order). clSeqNr=161
20:06:56.423 INF Request finished (out of order). clSeqNr=177
20:06:56.423 INF Request finished (out of order). clSeqNr=193
20:06:56.423 INF Request finished (out of order). clSeqNr=209
20:06:56.423 INF Request finished (out of order). clSeqNr=225
20:06:56.424 INF Request finished (out of order). clSeqNr=241
20:06:56.424 INF Request finished (out of order). clSeqNr=257
20:06:56.424 INF Request finished (out of order). clSeqNr=273
20:06:56.424 INF Request finished (out of order). clSeqNr=289
20:06:56.424 INF Request finished (out of order). clSeqNr=305
20:06:56.424 INF Request finished (out of order). clSeqNr=321
20:06:56.424 INF Request finished (out of order). clSeqNr=337
20:06:56.424 INF Request finished (out of order). clSeqNr=353
20:06:56.424 INF Request finished (out of order). clSeqNr=369
20:06:56.425 INF Request finished (out of order). clSeqNr=385
20:06:56.425 INF Request finished (out of order). clSeqNr=401
20:06:56.425 INF Request finished (out of order). clSeqNr=417
20:06:56.425 INF Request finished (out of order). clSeqNr=433
20:06:56.425 INF Request finished (out of order). clSeqNr=449
20:06:56.425 INF Request finished (out of order). clSeqNr=465
20:06:56.425 INF Request finished (out of order). clSeqNr=481
20:06:56.426 INF Request finished (out of order). clSeqNr=497
20:06:56.426 INF Request finished (out of order). clSeqNr=513
20:06:56.426 INF Request finished (out of order). clSeqNr=529
20:06:56.426 INF Request finished (out of order). clSeqNr=545
20:06:56.426 INF Request finished (out of order). clSeqNr=561
20:06:56.426 INF Request finished (out of order). clSeqNr=577
20:06:56.426 INF Request finished (out of order). clSeqNr=593
20:06:56.426 INF Request finished (out of order). clSeqNr=609
20:06:56.426 INF Request finished (out of order). clSeqNr=625
20:06:56.426 INF Request finished (out of order). clSeqNr=641
20:06:56.426 INF Request finished (out of order). clSeqNr=657
20:06:56.427 INF Request finished (out of order). clSeqNr=673
20:06:56.427 INF Request finished (out of order). clSeqNr=689
20:06:56.427 INF Request finished (out of order). clSeqNr=705
20:06:56.427 INF Request finished (out of order). clSeqNr=721
20:06:56.427 INF Request finished (out of order). clSeqNr=737
20:06:56.427 INF Request finished (out of order). clSeqNr=753
20:06:56.427 INF Request finished (out of order). clSeqNr=769
20:06:56.427 INF Request finished (out of order). clSeqNr=785
20:06:56.427 INF Request finished (out of order). clSeqNr=801
20:06:56.427 INF Request finished (out of order). clSeqNr=817
20:06:56.428 INF Request finished (out of order). clSeqNr=833
20:06:56.428 INF Request finished (out of order). clSeqNr=849
20:06:56.428 INF Request finished (out of order). clSeqNr=865
20:06:56.428 INF Request finished (out of order). clSeqNr=881
20:06:56.428 INF Request finished (out of order). clSeqNr=897
20:06:56.428 INF Request finished (out of order). clSeqNr=913
20:06:56.428 INF Request finished (out of order). clSeqNr=929
20:06:56.428 INF Request finished (out of order). clSeqNr=945
20:06:56.428 INF Request finished (out of order). clSeqNr=2
20:06:56.428 INF Request delivered (in order). clSeqNr=2
20:06:56.429 INF Request finished (out of order). clSeqNr=18
20:06:56.429 INF Request finished (out of order). clSeqNr=34
20:06:56.429 INF Request finished (out of order). clSeqNr=50
20:06:56.429 INF Request finished (out of order). clSeqNr=66
20:06:56.429 INF Request finished (out of order). clSeqNr=82
20:06:56.429 INF Request finished (out of order). clSeqNr=98
